"","x"
"1","102.146.88.253"
"2","104.220.68.36"
"3","115.99.66.210"
"4","120.130.138.152"
"5","121.168.84.32"
"6","128.2.1.10"
"7","128.237.255.81"
"8","132.214.137.24"
"9","132.42.241.177"
"10","154.29.81.178"
"11","160.116.210.243"
"12","161.147.211.153"
"13","16.6.74.206"
"14","171.128.49.99"
"15","173.194.74.189"
"16","180.70.211.154"
"17","196.132.138.81"
"18","199.59.148.147"
"19","207.137.67.221"
"20","21.241.212.197"
"21","229.61.253.52"
"22","234.183.31.38"
"23","241.210.41.46"
"24","248.237.9.18"
"25","33.24.97.48"
"26","49.201.237.5"
"27","51.145.58.158"
"28","55.53.190.191"
"29","63.193.172.89"
"30","65.248.11.247"
"31","69.232.82.51"
"32","71.113.17.64"
"33","74.125.228.64"
"34","74.125.228.67"
"35","74.125.228.86"
"36","75.214.206.60"
"37","91.189.94.4"
"38","94.148.118.202"
