"","num","tv_sec","tv_usec","layer_count","protocols","packet_size"
"1",1,1366841370,910530,4,"Ethernet,IP,RawLayer,TCP",108
"2",2,1366841370,910703,4,"Ethernet,IP,RawLayer,TCP",87
"3",3,1366841370,910874,3,"Ethernet,IP,TCP",54
"4",4,1366841371,48397,4,"Ethernet,IP,RawLayer,TCP",1440
"5",5,1366841371,48456,4,"Ethernet,IP,RawLayer,TCP",492
"6",6,1366841371,66329,3,"Ethernet,IP,TCP",54
"7",7,1366841371,66888,3,"Ethernet,IP,TCP",54
"8",8,1366841371,219749,4,"Ethernet,IP,RawLayer,TCP",105
"9",9,1366841371,220002,4,"Ethernet,IP,RawLayer,TCP",108
"10",10,1366841371,220092,3,"Ethernet,IP,TCP",54
"11",11,1366841376,591569,4,"Ethernet,IP,RawLayer,TCP",108
"12",12,1366841376,627312,3,"Ethernet,IP,TCP",54
"13",13,1366841376,777456,4,"Ethernet,IP,RawLayer,TCP",1440
"14",14,1366841376,777503,4,"Ethernet,IP,RawLayer,TCP",1440
"15",15,1366841376,777518,4,"Ethernet,IP,RawLayer,TCP",179
"16",16,1366841376,788655,3,"Ethernet,IP,TCP",54
"17",17,1366841376,788708,4,"Ethernet,IP,RawLayer,TCP",164
"18",18,1366841376,839290,3,"Ethernet,IP,TCP",54
"19",19,1366841376,937952,4,"Ethernet,IP,RawLayer,TCP",592
"20",20,1366841376,938014,3,"Ethernet,IP,TCP",54
"21",21,1366841376,937954,4,"Ethernet,IP,RawLayer,TCP",118
"22",22,1366841376,938061,3,"Ethernet,IP,TCP",54
"23",23,1366841389,411225,4,"Ethernet,IP,RawLayer,UDP",90
"24",24,1366841389,492856,4,"Ethernet,IP,RawLayer,UDP",90
"25",25,1366841395,351212,4,"Ethernet,IP,RawLayer,TCP",108
"26",26,1366841395,351283,3,"Ethernet,IP,TCP",54
"27",27,1366841396,104436,4,"Ethernet,IP,TCP,TCPOptionMaxSegSize",58
"28",28,1366841396,181785,4,"Ethernet,IP,TCP,TCPOptionMaxSegSize",58
"29",29,1366841396,181861,3,"Ethernet,IP,TCP",54
"30",30,1366841396,369535,4,"Ethernet,IP,RawLayer,UDP",75
"31",31,1366841396,382766,4,"Ethernet,IP,RawLayer,UDP",387
"32",32,1366841396,383046,4,"Ethernet,IP,RawLayer,UDP",75
"33",33,1366841396,386155,4,"Ethernet,IP,RawLayer,UDP",387
"34",34,1366841396,386646,4,"Ethernet,IP,TCP,TCPOptionMaxSegSize",58
"35",35,1366841396,396968,4,"Ethernet,IP,TCP,TCPOptionMaxSegSize",58
"36",36,1366841396,397059,3,"Ethernet,IP,TCP",54
"37",37,1366841396,397710,4,"Ethernet,IP,RawLayer,TCP",244
"38",38,1366841396,408201,3,"Ethernet,IP,TCP",54
"39",39,1366841396,410354,4,"Ethernet,IP,RawLayer,TCP",1440
"40",40,1366841396,410389,3,"Ethernet,IP,TCP",54
"41",41,1366841396,412147,4,"Ethernet,IP,RawLayer,TCP",1125
"42",42,1366841396,412211,3,"Ethernet,IP,TCP",54
"43",43,1366841396,508558,4,"Ethernet,IP,RawLayer,TCP",348
"44",44,1366841396,509023,4,"Ethernet,IP,RawLayer,TCP",107
"45",45,1366841396,509659,4,"Ethernet,IP,RawLayer,TCP",1440
"46",46,1366841396,509681,4,"Ethernet,IP,RawLayer,TCP",265
"47",47,1366841396,521102,4,"Ethernet,IP,RawLayer,TCP",280
"48",48,1366841396,521161,4,"Ethernet,IP,RawLayer,TCP",161
"49",49,1366841396,522276,4,"Ethernet,IP,RawLayer,TCP",107
"50",50,1366841396,557307,3,"Ethernet,IP,TCP",54
"51",51,1366841396,568967,4,"Ethernet,IP,RawLayer,TCP",108
