"","num","tv_sec","tv_usec","src","dst","protocol_name","size","header_len","total_len","ttl","flags","flag_bits","dscp","frag_ofs"
"1",1,1366841370,910530,"173.194.74.189","128.237.255.81","TCP",108,5,94,49,0,"000",0,0
"2",2,1366841370,910703,"173.194.74.189","128.237.255.81","TCP",87,5,73,49,0,"000",0,0
"3",3,1366841370,910874,"128.237.255.81","173.194.74.189","TCP",54,5,40,64,2,"010",0,0
"4",4,1366841371,48397,"128.237.255.81","173.194.74.189","TCP",1440,5,1426,64,2,"010",0,0
"5",5,1366841371,48456,"128.237.255.81","173.194.74.189","TCP",492,5,478,64,2,"010",0,0
"6",6,1366841371,66329,"173.194.74.189","128.237.255.81","TCP",54,5,40,49,0,"000",0,0
"7",7,1366841371,66888,"173.194.74.189","128.237.255.81","TCP",54,5,40,49,0,"000",0,0
"8",8,1366841371,219749,"173.194.74.189","128.237.255.81","TCP",105,5,91,49,0,"000",0,0
"9",9,1366841371,220002,"173.194.74.189","128.237.255.81","TCP",108,5,94,49,0,"000",0,0
"10",10,1366841371,220092,"128.237.255.81","173.194.74.189","TCP",54,5,40,64,2,"010",0,0
"11",11,1366841376,591569,"173.194.74.189","128.237.255.81","TCP",108,5,94,49,0,"000",0,0
"12",12,1366841376,627312,"128.237.255.81","173.194.74.189","TCP",54,5,40,64,2,"010",0,0
"13",13,1366841376,777456,"128.237.255.81","74.125.228.86","TCP",1440,5,1426,64,2,"010",0,0
"14",14,1366841376,777503,"128.237.255.81","74.125.228.86","TCP",1440,5,1426,64,2,"010",0,0
"15",15,1366841376,777518,"128.237.255.81","74.125.228.86","TCP",179,5,165,64,2,"010",0,0
"16",16,1366841376,788655,"74.125.228.86","128.237.255.81","TCP",54,5,40,57,0,"000",0,0
"17",17,1366841376,788708,"128.237.255.81","74.125.228.86","TCP",164,5,150,64,2,"010",0,0
"18",18,1366841376,839290,"74.125.228.86","128.237.255.81","TCP",54,5,40,57,0,"000",0,0
"19",19,1366841376,937952,"74.125.228.86","128.237.255.81","TCP",592,5,578,57,0,"000",0,0
"20",20,1366841376,938014,"128.237.255.81","74.125.228.86","TCP",54,5,40,64,2,"010",0,0
"21",21,1366841376,937954,"74.125.228.86","128.237.255.81","TCP",118,5,104,57,0,"000",0,0
"22",22,1366841376,938061,"128.237.255.81","74.125.228.86","TCP",54,5,40,64,2,"010",0,0
"23",23,1366841389,411225,"128.237.255.81","91.189.94.4","UDP",90,5,76,64,2,"010",0,0
"24",24,1366841389,492856,"91.189.94.4","128.237.255.81","UDP",90,5,76,51,2,"010",0,0
"25",25,1366841395,351212,"173.194.74.189","128.237.255.81","TCP",108,5,94,49,0,"000",0,0
"26",26,1366841395,351283,"128.237.255.81","173.194.74.189","TCP",54,5,40,64,2,"010",0,0
"27",27,1366841396,104436,"128.237.255.81","199.59.148.147","TCP",58,5,44,64,2,"010",0,0
"28",28,1366841396,181785,"199.59.148.147","128.237.255.81","TCP",58,5,44,46,2,"010",0,0
"29",29,1366841396,181861,"128.237.255.81","199.59.148.147","TCP",54,5,40,64,2,"010",0,0
"30",30,1366841396,369535,"128.237.255.81","128.2.1.10","UDP",75,5,61,64,2,"010",0,0
